Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-3.723032808294873064e+01
-1.500000000000000000e+01,-3.366531613465880213e+01
-1.000000000000000000e+01,-3.224952848947227579e+01
-5.000000000000000000e+00,-3.467930626168075037e+01
0.000000000000000000e+00,-3.394161263511499271e+01
5.000000000000000000e+00,-2.747877953481803104e+01
1.000000000000000000e+01,-2.487906963805064464e+01
1.500000000000000000e+01,-1.926543524882173841e+01
2.000000000000000000e+01,-1.550087487633689776e+01
2.500000000000000000e+01,-9.570497775139930496e+00
3.000000000000000000e+01,-3.775657267971714415e+00
3.500000000000000000e+01,1.626947921691521248e+00
